title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity
Flowers;Miley Cyrus;pop;2023;118;68;71;-4;3;65;200;6;7;98
Cupid - Twin Ver.;FIFTY FIFTY;k-pop girl group;2023;120;59;78;-8;35;73;174;44;3;97
BESO;ROSALÍA;pop;2023;95;64;77;-7;17;53;195;74;14;96
Boy's a liar Pt. 2;PinkPantheress;bronx drill;2023;133;81;70;-8;25;86;131;25;5;96
Creepin' (with The Weeknd & 21 Savage);Metro Boomin;rap;2022;98;62;72;-6;8;17;222;42;5;96
Daylight;David Kushner;gen z singer-songwriter;2023;130;43;51;-9;9;32;213;83;3;96
TQG;KAROL G;reggaeton;2023;180;63;72;-4;9;61;199;67;28;96
Calm Down (with Selena Gomez);Rema;afrobeats;2022;107;81;80;-5;11;80;239;38;4;95
Anti-Hero;Taylor Swift;pop;2022;97;64;64;-7;14;53;201;13;5;94
Here With Me;d4vd;bedroom pop;2022;132;47;57;-8;13;29;242;53;3;94
I'm Good (Blue);David Guetta;big room;2022;128;97;56;-4;37;30;175;0;3;94
Kill Bill;SZA;pop;2022;89;74;64;-6;16;42;154;5;4;94
Die For You - Remix;The Weeknd;canadian contemporary r&b;2023;67;53;53;-6;44;50;233;23;7;93
I Ain't Worried;OneRepublic;piano rock;2022;140;80;70;-6;5;83;148;8;5;93
Quevedo: Bzrp Music Sessions Vol. 52;Bizarrap;argentine hip hop;2022;128;78;62;-6;23;55;199;1;4;93
Starboy;The Weeknd;canadian contemporary r&b;2016;186;59;68;-7;14;49;230;14;28;93
Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez;gen z singer-songwriter;2022;101;55;55;-5;20;34;176;78;3;93
Another Love;Tom Odell;chill pop;2013;123;54;45;-9;9;13;244;70;4;92
As It Was;Harry Styles;pop;2022;174;73;52;-5;31;66;167;34;6;92
Blinding Lights;The Weeknd;canadian contemporary r&b;2020;171;73;51;-6;9;33;200;0;6;92
Me Porto Bonito;Bad Bunny;reggaeton;2022;92;71;91;-5;9;43;179;9;8;92
Mockingbird;Eminem;detroit hip hop;2004;84;68;64;-4;16;25;251;21;27;92
Players;Coi Leray;new jersey underground rap;2022;105;52;95;-6;5;62;140;3;16;92
Cruel Summer;Taylor Swift;pop;2019;170;70;55;-6;11;56;178;12;16;91
Escapism.;RAYE;uk contemporary r&b;2022;96;74;54;-5;9;25;272;14;11;91
Ojitos Lindos;Bad Bunny;reggaeton;2022;80;69;65;-6;53;27;258;8;4;91
Search & Rescue;Drake;canadian hip hop;2023;142;44;82;-8;33;54;272;6;7;91
Sure Thing;Miguel;r&b;2010;81;61;68;-8;19;50;195;3;10;91
Sweater Weather;The Neighbourhood;modern alternative rock;2013;124;81;61;-3;10;40;240;5;3;91
Unholy (feat. Kim Petras);Sam Smith;pop;2022;131;47;71;-7;27;24;157;1;9;91
All Of The Girls You Loved Before;Taylor Swift;pop;2019;96;47;72;-10;13;40;221;71;4;90
Dandelions;Ruth B.;alt z;2017;117;69;61;-3;9;45;234;2;3;90
Ditto;NewJeans;k-pop;2022;134;64;81;-6;10;18;186;3;11;90
Efecto;Bad Bunny;reggaeton;2022;98;48;80;-9;6;23;213;14;5;90
golden hour;JVKE;modern indie pop;2022;94;59;52;-5;25;15;209;65;3;90
Heat Waves;Glass Animals;gauze pop;2020;81;53;76;-7;9;53;239;44;9;90
La Bachata;Manuel Turizo;colombian pop;2022;125;68;84;-5;22;85;163;58;4;90
Last Night;Morgan Wallen;contemporary country;2023;204;68;52;-5;15;52;164;46;4;90
lovely (with Khalid);Billie Eilish;art pop;2018;115;30;35;-10;10;12;200;93;3;90
Made You Look;Meghan Trainor;hip pop;2022;145;53;84;-4;8;88;134;35;7;90
Nonsense;Sabrina Carpenter;pop;2022;139;70;74;-5;22;73;164;3;3;90
Perfect;Ed Sheeran;pop;2017;95;45;60;-6;11;17;263;16;2;90
Rich Flex;Drake;canadian hip hop;2022;153;52;56;-9;36;42;239;5;24;90
Tití Me Preguntó;Bad Bunny;reggaeton;2022;107;72;65;-5;13;19;244;10;25;90
Watermelon Sugar;Harry Styles;pop;2019;95;82;55;-4;34;56;174;12;5;90
Without Me;Eminem;detroit hip hop;2002;112;67;91;-3;24;66;290;0;7;90
Yandel 150;Yandel;latin hip hop;2023;168;73;78;-4;10;58;216;5;7;90
Yellow;Coldplay;permanent wave;2000;173;66;43;-7;23;28;267;0;3;90
Call Out My Name;The Weeknd;canadian contemporary r&b;2018;134;59;46;-5;31;18;228;17;4;89
Do I Wanna Know?;Arctic Monkeys;garage rock;2013;85;53;55;-8;22;41;272;19;3;89
Double Fantasy (with Future);The Weeknd;canadian contemporary r&b;2023;119;57;60;-7;50;10;268;1;3;89
Eyes Closed;Ed Sheeran;pop;2023;107;53;78;-6;11;39;195;30;6;89
Late Night Talking;Harry Styles;pop;2022;115;73;71;-5;11;90;178;30;5;89
Lavender Haze;Taylor Swift;pop;2022;97;44;73;-10;16;10;202;26;8;89
Never Felt So Alone;Labrinth;indie poptimism;2023;98;41;44;-4;38;36;160;50;5;89
Night Changes;One Direction;boy band;2014;120;52;67;-8;12;37;227;86;4;89
Save Your Tears;The Weeknd;canadian contemporary r&b;2020;118;83;68;-5;54;64;216;2;3;89
Someone You Loved;Lewis Capaldi;pop;2019;110;41;50;-6;11;45;182;75;3;89
The Real Slim Shady;Eminem;detroit hip hop;2000;105;66;95;-4;5;76;284;3;6;89
When I Was Your Man;Bruno Mars;dance pop;2012;73;28;61;-9;9;39;214;93;4;89
Blank Space;Taylor Swift;pop;2014;96;70;76;-5;9;57;232;10;5;88
Circles;Post Malone;dfw rap;2019;120;76;70;-3;9;55;215;19;4;88
Ghost;Justin Bieber;canadian pop;2021;154;74;60;-6;42;44;153;19;5;88
Heather;Conan Gray;bedroom pop;2020;102;43;36;-7;32;27;198;58;3;88
I Love You So;The Walters;chicago indie;2014;76;65;57;-5;12;47;160;58;4;88
Locked out of Heaven;Bruno Mars;dance pop;2012;144;70;73;-4;31;87;233;5;4;88
Lover;Taylor Swift;pop;2019;69;54;36;-8;12;45;221;49;9;88
Moscow Mule;Bad Bunny;reggaeton;2022;100;67;80;-5;12;29;246;29;3;88
One Dance;Drake;canadian hip hop;2016;104;63;79;-6;33;37;174;1;5;88
One Kiss (with Dua Lipa);Calvin Harris;dance pop;2018;124;86;79;-3;8;59;215;4;11;88
Pink + White;Frank Ocean;lgbtq+ hip hop;2016;160;55;55;-7;42;55;185;67;11;88
Shape of You;Ed Sheeran;pop;2017;96;65;83;-3;9;93;234;58;8;88
Shivers;Ed Sheeran;pop;2021;141;86;79;-3;4;82;208;28;9;88
The Hills;The Weeknd;canadian contemporary r&b;2015;113;56;59;-7;14;14;242;7;5;88
Viva La Vida;Coldplay;permanent wave;2008;138;62;49;-7;11;42;242;10;3;88
