#,"Country,
Other","Total
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
1,USA,"98,166,904","1,084,282",,"94,962,112","2,120,510","2,970","293,206","3,239","1,118,158,870","3,339,729","334,805,269"
2,India,"44,587,307","528,629",,"44,019,095","39,583",698,"31,698",376,"894,416,853","635,857","1,406,631,776"
3,France,"35,342,950","155,078",,"34,527,115","660,757",869,"538,892","2,365","271,490,188","4,139,547","65,584,518"
4,Brazil,"34,706,757","686,027",,"33,838,636","182,094","8,318","161,162","3,186","63,776,166","296,146","215,353,593"
5,Germany,"33,312,373","149,948",,"32,315,200","847,225","1,406","397,126","1,788","122,332,384","1,458,359","83,883,596"
6,S. Korea,"24,769,101","28,406",42,"24,013,461","727,234",352,"482,547",553,"15,804,065","307,892","51,329,899"
7,UK,"23,621,952","189,919",,"23,347,871","84,162",146,"344,857","2,773","522,526,476","7,628,357","68,497,907"
8,Italy,"22,432,803","177,054",,"21,779,604","476,145",141,"372,250","2,938","246,636,495","4,092,684","60,262,770"
9,Japan,"21,229,216","44,678",,"20,380,089","804,449",204,"169,043",356,"76,201,407","606,772","125,584,838"
10,Russia,"20,948,470","387,163",,"19,979,763","581,544","2,300","143,674","2,655","273,400,000","1,875,095","145,805,947"
11,Turkey,"16,873,793","101,139",,"16,754,301","18,353",975,"197,211","1,182","162,743,369","1,902,052","85,561,976"
12,Spain,"13,412,263","114,084",,"13,218,892","79,287",339,"287,083","2,442","471,036,328","10,082,298","46,719,142"
13,Vietnam,"11,477,886","43,148",,"10,590,917","843,821",106,"115,993",436,"85,826,548","867,342","98,953,541"
14,Australia,"10,209,239","14,984",,"10,133,494","60,761",49,"391,627",575,"78,835,048","3,024,116","26,068,792"
15,Argentina,"9,708,420","129,897",,"9,563,348","15,175",294,"211,006","2,823","35,716,069","776,264","46,010,234"
16,Netherlands,"8,422,336","22,643",,"8,362,464","37,229",35,"489,345","1,316","21,107,399","1,226,358","17,211,447"
17,Iran,"7,548,320","144,421",,"7,325,370","78,529",157,"87,748","1,679","54,095,556","628,851","86,022,837"
18,Mexico,"7,084,488","330,065",,"6,353,953","400,470","4,798","53,849","2,509","18,393,211","139,806","131,562,772"
19,Indonesia,"6,429,767","158,093",,"6,253,317","18,357","2,771","23,035",566,"108,656,989","389,264","279,134,505"
20,Taiwan,"6,417,941","11,003",,"5,603,195","803,743",,"268,661",461,"25,998,416","1,088,319","23,888,595"
21,Colombia,"6,307,372","141,794",,"6,134,690","30,888",342,"122,443","2,753","36,572,720","709,974","51,512,762"
22,Poland,"6,289,672","117,539",,"5,335,940","836,193","3,086","166,659","3,114","37,335,609","989,290","37,739,785"
23,Portugal,"5,490,639","25,024",,"5,394,788","70,827",61,"541,453","2,468","44,988,307","4,436,467","10,140,570"
24,Ukraine,"5,177,217","109,206",,"4,973,554","94,457",177,"119,865","2,528","19,521,252","451,963","43,192,122"
25,Austria,"5,118,512","20,738",,"5,006,572","91,202",47,"564,539","2,287","197,543,761","21,787,811","9,066,710"
26,Greece,"4,920,192","33,111",,"4,836,903","50,178",115,"476,918","3,209","94,139,966","9,125,063","10,316,637"
27,Malaysia,"4,838,872","36,369",,"4,777,329","25,174",43,"145,832","1,096","64,604,259","1,947,021","33,181,072"
